Year,Latino,Hispanic
2000,371,1050
2001,448,1024
2002,426,895
2003,417,812
2004,399,778
2005,424,762
2006,448,885
2007,599,1082
2008,875,1301
2009,679,1039
2010,556,937
2011,826,1179
2012,1030,1486
2013,612,815
2014,530,706
