City,Bike,Pedestrian
Alameda,38,30
Albany,12,11
Berkeley,149,111
Dublin,9,4
Emeryville,5,6
Fremont,46,51
Hayward,32,60
Livermore,29,19
Newark,11,5
Oakland,217,296
Piedmont,2,3
Pleasanton,39,13
San Leandro,18,18
Union City,9,17
